Topic1,Topic2,Topic3,SubLine1,SubLine2,SubLine3,SubLine4,SubLine5
Fashion,,, Last chance to grab the hottest Halloween fashion deals!, Fashion-forward Halloween costumes that will make heads turn!, Spooky and stylish: Get your Halloween fashion fix!, Don't miss out on these Halloween fashion essentials!, Fashion countdown: X days/hours left to update your Halloween wardrobe!
Retargeting,Points,Valentine's, Keep the Love Alive with Valentine's Retargeting Points, Get More Points and More Love this Valentine's with Retargeting , Share the Love: Use Retargeting Points this Valentine's, Fall in Love with More Benefits: Retargeting Points for Valentine's," Your Perfect Match: Retargeting, Points and Valentine's Together"
Dollar Range [X$ - Y$],Fall,Valentines, Big Sale Alert: Shop the Best Deals for Fall and Valentine's Day in X$ - Y$ range, X$ - Y$ range: Click for the Hottest Deals on Valentine's Day and Fall Trends, Celebrate Fall and Valentine's Day in X$ - Y$ range: Shop Now for the Best Deals, Don't Miss Out on X$ - Y$ range Deals for Fall and Valentine's Day Gifts, Upgrade Your Fall and Valentine's Day Plans with X$ - Y$ Range Deals
% Discount,,, Don't Miss Out On Our % Discount Sale!, Exclusive % Discount Offer Just for You, Limited Time % Discount on [Brand Name] Products, Grab it fast! % Discount on [Brand Name] Products, Celebrate [Brand Name]'s Anniversary with % Discount on Everything
Abandoned cart,Halloween,[Brand Name]., Don't Haunt Your Cart - Complete Your Halloween Shopping with [Brand Name], Take Your Halloween Game Up A Notch! Shop with [Brand Name], Say Boo to Abandoned Cart and Grab Perfect Halloween Treats with [Brand Name], Finish Your Halloween Checklist in style with [Brand Name], Halloween Sale Ending Soon! Hurry Up And Shop With Us.
Auto,Retargetting,Back to School, Back to school with a new car: Special offers on our auto inventory, Don't miss out on auto retargeting opportunities to reach your potential customers, Get ready for school with our auto maintenance and repair services, A new school year calls for a new ride: Check out our latest auto models, Increase your back-to-school sales with personalized auto retargeting ads
Gifts,Spring,Jeans., Get ready for spring with new jeans - exciting gift ideas inside!," Upgrade your spring wardrobe with these stylish jeans, perfect as gifts!", The perfect spring gift idea: A pair of trendy jeans for your loved ones!, Give the gift of spring with these fashionable jeans for men and women!, Jeans make the perfect spring gift - find the perfect pair for your loved ones now!
Travel,Clearance,Spring, Jet off this spring with our clearance travel deals!, Plan a budget-friendly spring vacation with our clearance offer!, Spring into savings with our travel clearance sale!, Dreaming of a spring getaway? Check out our travel clearance deals!, Ready for a spring adventure? Save big with our clearance travel offers!
Re-engagement,Units left,Sports, Last chance to claim - only {X} units left in stock!, Don't miss out! Only {X} units left of your favorite sports gear!, Re-engage with us and save on your next sports purchase!, Boost your game with our unbeatable sports gear and get {X} units before they're gone!," Re-engage, refresh, and restock on sports gear - {X} units left waiting for you!"
New Launch,Fall,Units left [X units left], Fall in love with our New Launch - Only X units left!," Grab the New Launch now, before it's gone! Only X units left this Fall", Act now to secure your New Launch - X Units left this Fall," New Launch frenzy this Fall - X units left, get yours today!", Get your hands on our New Launch before they're all gone - only X units left!
New Launch,Gift Cards,[X item]," Get ahead of the game with our new launch, gift cards and [X item]!", Celebrate our new launch with the perfect [X item] and a gift card for a friend!, Gift cards are here! Try our new [X item] and share the love., The wait is over! Introducing our new launch and [X item] with gift cards included., Fall in love with our new launch and [X item] plus gift cards for easy giving.
Deadline [X days/hours left],Halloween,and Jeans, Only X days left until Halloween - grab your favorite jeans now!, Don't miss out - limited time left to buy Halloween jeans with X% discount!, Halloween costume crisis? Get it together with these trendy jeans with X-day deadline., Last chance to buy spooky jeans before Halloween with X-day deadline countdown., Countdown alert: Only X hours left to buy unique Halloween jeans!
Travel,Gift Cards,Fall," ""Give the Gift of Travel: Fall Deals Now Available"""," ""Travel Smart this Fall with Discounted Gift Cards"""," ""Fall into Savings: Get Great Deals on Travel and Gift Cards"""," ""The Perfect Fall Gift: A Travel Experience with Gift Card Bonus"""," ""Fall Adventure Awaits: Book with Gift Cards and Save on Travel"""
Re-engagement,% Discount,Black Friday, Come back for Black Friday deals! 20% off sitewide, Exclusive offer for returning customers: 30% off Black Friday sale, Don't miss out on our Black Friday sale! Get 15% off your next purchase, We miss you! Celebrate Black Friday with 25% off everything, It's Black Friday! Get a special 10% discount when you re-engage with us.
Travel,Coupons,Dollar Range [X$ - Y$], Save big on your next adventure with our exclusive travel coupons!, Unbeatable travel deals inside - take advantage of our X$-Y$ range!, Limited time offer: Save X$ on your next getaway with our exclusive coupons!, Plan your dream vacation on a budget with our X$-Y$ travel deals and discounts, Get more for less when you book with us - special travel coupons inside!
Travel,Spring,Sports, Discover the Best Spring Sports Destinations for Your Next Travel Plans, Spring into Action: Adventure Sports and Travel Deals Await You, Get Your Game On: Unleash Your Sporting Spirit on Your Next Travel Adventure, From Biking in the Mountains to Hitting the Beach Volleyball Courts: Spring Sports Travel Ideas , Plan Your Spring Getaway Now: Sports-Focused Travel Destinations That Can't Be Missed
New Launch,Dollar Range [X$-Y$],[Brand Name], [Brand Name] introduces their latest launch in the [X$-Y$] range , Explore the all-new [Brand Name] collection within your budget of [X$-Y$], Get your hands on [Brand Name]'s newest collection within the [X$-Y$] price range, New Launch Alert: [Brand Name]'s latest collection now available in [X$-Y$] range, [X$-Y$] range just got better with [Brand Name]'s New Launch.
Auto,Dress,, Stylishly arrive at your next event - Auto rental and formal dress hire available!, Hit the road in style with Auto rentals and Dressing up for the occasion!, Your dream road trip experience - Auto rental and effortless Dressing!, Turn heads at your next event: Auto rental and Dressing to impress!, Get ready for a glamorous night out - Auto rental and the perfect Dress awaits you!
Clearance,Back to School,[X item], Hurry! Limited Clearance Stock on [X item] for Back to School., Clearance Sale Alert: Up to 50% Off on [X item] for Back to School., Back to School Must-Have: [X item] on Clearance Sale., Big Deals on Back to School Essentials: [X item] on Clearance., [X item] on Clearance Sale! Perfect for Back to School Shopping.
Coupons,Spring,Thanks Giving," ""Get ready for Spring with exclusive Coupons inside!"""," ""Huge Thanks Giving sale, use coupons to maximize savings."""," ""Spring savings are here! Don't miss out on our Coupons."""," ""Thankful for our customers: Enjoy Thanks Giving Coupons!"""," ""Limited time offer: Combine Coupons for Spring and Thanks Giving!"""
Travel,Retargetting,Summer, Book your summer adventure now with our retargeting offer, Your summer travel plans are incomplete without our retargeting deals, Don't miss our summer sale! Retargeted just for you, Take advantage of our retargeted travel offers and plan your dream summer vacation, Explore the world this summer with our exclusive retargeting discounts on travel
Gift Cards,Spring,Yes, Yes! Spring into savings with our gift cards., Gift cards to brighten up your Spring., Say 'Yes' to gifting with our Spring gift cards., Spring surprises await with our gift card offerings.," Yes, it's the perfect time to gift a Spring gift card."
Auto,Christmas,Dress, Top 5 Car Decorations for the Christmas Parade, Drive home for Christmas in Style with our Festive Auto Accessories, Dress to Impress at the Christmas Party - Shop Our Special Collection Now, Get Your Car Winter-Ready and Have a Jolly Christmas Trip, The Perfect Christmas Gift for the Car Lover and Fashionista: Customized Car Keychains and Dress Accessories.
Winter,Halloween,Dress, Spooktacular Winter Styles: Halloween Dress Inspiration , Warm and Chic: Dressing Up for Winter and Halloween , Winter-Proof Your Halloween Outfit with These Dress Ideas , Halloween Dress Trends to Keep You Cozy in Winter Weather , From Winter Wonderland to Spooky Night: Dress Up for Halloween in Style
Travel,Winter,Halloween, Escape to a winter wonderland for Halloween, Spooky travel deals for your winter getaway, Celebrate Halloween in a winter wonderland, Trick or treat yourself to a winter vacation, Add some chill to your Halloween travel plans with winter destinations.
Welcome,% Discount,Units left [X units left], Limited time offer: Get % Discount on your Welcome purchase!, Hurry! Only X units left for Welcome with % Discount., Welcome to our community: Enjoy X units left with % Discount., Don't miss out on % Discount for Welcome - only X units left!, Exclusive Welcome offer: X units left at % Discount.
Summer,Thanks Giving,Dress, Get ready for summer with our amazing dress collection - Get a festive discount this Thanks Giving!, Your ultimate summer dress guide for stylish Thanks Giving outfits., Look chic and elegant this summer & Thanks Giving with our exclusive dress collection., Shop for the perfect Thank Giving dress and complete your summer wardrobe., Summer sale alert - Upgrade your wardrobe with new dresses for Thanks Giving.
Spring,Units left [X units left],Halloween, Get Ready for a Spooky Spring Sale - X Units Left, Spring into action with Halloween deals, Don't miss out on our Spring clearance event - X Units Left, Halloween isn't just for Fall - Spring into spooky savings, Spring is in the air - and so are our Halloween discounts!
Coupons,Summer,Christmas., 'Tis the Season for summer savings with our Christmas in July coupon!, Beat the heat and save big this summer with our exclusive Christmas coupon code!, Celebrate summer and Christmas in one with our coupon savings!, Don't miss our Summer Blowout Sale - Coupon inside!, Christmas in Summer? You bet! Enjoy our festive coupon savings today.
Auto,Spring,Black Friday, Spring Auto Maintenance: Get Your Car Ready for Black Friday Road Trips, Don't Miss Out on Auto Spring Savings for Black Friday Shopping, Black Friday Auto Deals: Rev Up Your Spring with Huge Discounts, Spring Cleaning for Your Auto: Get Ready for Black Friday Adventures, Black Friday Bonanza: Celebrate Spring with Auto Deals That Can't Be Missed
Welcome,Fall,Black Friday., Welcome the fall season with amazing Black Friday deals, Black Friday extravaganza: Welcome to the fall season sale, Fall into savings on Black Friday: Welcome to our deals," Welcome to our Black Friday sale, where fall meets fantastic discounts", Black Friday deals you’ll fall for – Welcome to our exclusive offer
Fashion,Retargeting,Winter, Winter Fashion Looks You Don't Want to Miss - Retargeted Just for You!, Fashion Trends to Keep You Cozy this Winter - Don't Miss Out, Retargeting Alert: Get Your Winter Wardrobe with Our Latest Fashion Trends, Don't Let Winter Freeze Your Fashion: Get Retargeted to Perfect Your Style, Winter Fashion Must Haves - Make Sure You Don't Miss Our Retargeting Deals
Retargeting,Dollar Range [X$ - Y$],Back to School, Don't Miss Out on Back to School Savings - Shop Now with Retargeting Ads, Retargeted Ads: Save Big on Back to School Shopping in X$ - Y$ Range, Boost Your Back to School Sales with Retargeting Ads on a Budget, Retargeting Ads Catered Specifically for Back to School Shopping, Drive Conversions with Retargeting Ads During the X$ - Y$ Back to School Range
Spring,[Brand Name],Dress, Refresh your wardrobe this Spring with our new Dress Collection from [Brand Name], Welcome Spring with Style: Check out our latest Dress Collection from [Brand Name], Elevate your Spring Fashion with [Brand Name] Dress Collection, Get ready for Spring with [Brand Name] Trendy and Comfy Dress Collection, Update your Spring Wardrobe with [Brand Name] Latest Dress Collection
Points,Summer,Deadline [X days/hours left], Earn more points and enjoy the summer before the deadline!, Don't let the deadline ruin your summer - earn more points now!, Time's running out! Earn points this summer before the deadline!, Make the most of your summer and earn points before it's too late!, Summer's halfway over! Earn points before the deadline ends!
Spring,Back to School,Yes," ""Yes! Spring has sprung and we're going back to school!"""," ""Back to School with a Spring in your step - Yes, let's do this!"""," ""Spring into action with our Back to School deals - Say Yes to savings!"""," ""Yes, it's time for Spring cleaning and Back to School shopping!"""," ""Back to School made easy with our Spring essentials - Say Yes to stress-free shopping!"""
Domain,Dollar Range [X$ - Y$],Halloween., Get your Spooky Domain this Halloween!, Domain Deals to Scare your Budget: Get them Now!, Halloween Exclusive: Domain Deals within your Budget, Creepy Good Domain deals: Don't miss out!, Halloween Treats: Get Domains at Scary Low Prices!
Retail,Clearance,Halloween., Spooktacular Sale: Shop Halloween clearance items now!, Don't miss out on our Retail clearance event + spooky Halloween merch!, Last chance to grab discounted Halloween and retail items!, Halloween is over but our Retail clearance sale isn't!, Stock up on Halloween goodies and retail deals before they're gone!
Welcome,,, Welcome to [Brand Name]: Get Ready for a Great Experience!, [Brand Name] Welcomes You: Act Fast - Deadline Approaching., You're Invited to Join [Brand Name] - Limited Time Left!, Welcome Aboard [Brand Name] - Only X Days Left to Claim Your Offer!, Your [Brand Name] Welcome Pack is Here - Don't Miss Out on the Deadline!
Retargeting,Spring,Deadline [X days/hours left], Last chance to retarget this Spring - deadline approaching!, Retargeting campaigns to boost your Spring sales - act now!, Time is running out for Spring retargeting - don't miss the deadline, Spring into action with targeted retargeting - deadline fast approaching, Boost your ROI this Spring with effective retargeting - don't wait until the last minute
Retail,% Discount,Halloween., Spooky Halloween sale! Get up to {var1}% off at our retail store., Last chance for Halloween deals! Enjoy {var1}% off at our retail store., Enjoy {var1}% off on our Halloween collection at retail store., Flash sale! Save up to {var1}% at our retail store for Halloween., Scare up some savings! {var1}% off at our retail store this Halloween.
Retargetting,Points,Fall, Get back on track with retargeting and earn more points!, Retargeting can help you recover from a fall in points, Boost your points with retargeting strategies," Don't let a fall in points discourage you, try retargeting techniques", How retargeting can turn a points fall into a success story
% Discount,Dollar Range [X$ - Y$],[Brand Name]., Up to XX% off on [Brand Name] products for a limited time., Shop [Brand Name] products now and save from X$ to Y$., Save big! [Brand Name] products at discounted prices up to XX% off., Don't miss this amazing deal! Get a XX% discount on [Brand Name] products., Hurry up and grab the best offers on [Brand Name] products with discounts up to XX%.
Domain,Fall,Yes, Discover the Best Domain Deals this Fall and Say Yes to Savings!, Fall in Love with Your Dream Domain - Get it Now!," Yes, You Can Get Your Perfect Domain - Act Fast!", Dominate This Fall with the Right Domain - Your Time is Now!, Say Yes to a Better Online Presence with Your Ideal Domain this Fall.
Clearance,Spring,Jeans., Spring into savings with our Jeans clearance sale!, Up to 50% off on Jeans this Spring Clearance!, Shop trendy Jeans for less this Spring Clearance!, Don't miss out on exclusive Spring Clearance deals on Jeans!, Get the perfect Jeans for your Spring wardrobe at discounted prices during our clearance!
BOGO,Valentines,[Brand Name]," Love is in the air with BOGO, don't miss out!", Show love with our BOGO Valentine's offer., [Brand Name] Valentine's special - BOGO on all products.," Buy one, gift one with our BOGO Valentine's promotion.", Double the love this Valentine's with BOGO from [Brand Name].
Domain,Gift Cards,Back to School, Save big on back-to-school supplies with our domain gift cards, Get the best back-to-school deals with domain gift cards, Use our domain gift cards to stock up on back-to-school essentials, Give the gift of savings: domain gift cards for back-to-school shopping, Don't miss out on back-to-school savings with our domain gift cards
Abandoned cart,Units left [X units left],Black Friday, Act fast! Only X units left on Black Friday deals , Don't let your Black Friday cart go to waste , Reminder: Your cart has X units left and it's Black Friday! , Last chance to grab your Black Friday deals before they're gone , X days left to complete your Black Friday cart before it's abandoned.
Auto,Thanks Giving,Yes," Auto-discounts in appreciation of your business - Thanks for saying ""Yes""!"," Give thanks to your car with our auto-care services - Say ""Yes"" to quality!"," Yes, you can enjoy a stress-free ride with our auto-insurance plans - Give thanks for peace of mind!"," Auto-upgrade your ride this Thanks Giving - Say ""Yes"" to luxury!"," Yes, you deserve a break! Take advantage of our auto-rental services this Thanks Giving."
Auto,Fall,Thanks Giving, Fall into Savings with our Auto deals this Thanks Giving!  , Thanks Giving travel made easy with our Auto rentals , Celebrate the season with Auto Fall maintenance deals  , Auto Insurance check-up before Fall weather sets in  , Thanks Giving gratitude for Auto savings with our loyalty program
Travel,Retargeting,Valentines, Plan your next romantic getaway with our Valentine's Day travel deals!, Missed out on booking your dream vacation? Let our retargeting ads help you plan your next adventure., Love is in the air! Surprise your partner with a spontaneous trip this Valentine's Day., Don't let past travel searches go to waste - our retargeting campaigns can help turn dreams into reality., Celebrate Valentine's Day in style with our luxury travel packages.
New Launch,BOGO,[Brand Name], Exciting New Launch from [Brand Name]: BOGO Offer Inside!," Don't Miss Out on Our New Launch: Buy One, Get One Free at [Brand Name]", It's Here! Our Latest New Launch Comes with a BOGO Deal at [Brand Name], [Brand Name]'s New Launch is Finally Here + BOGO Offer!," Limited Time Offer: Buy One, Get One Free on [Brand Name]'s New Launch!"
Re-engagement,Dollar Range [X$ - Y$],[Brand Name], [Brand Name]: Come back and shop with us to get the hottest deals in X$ - Y$ price range!," We miss you, [First Name]! Rediscover the excitement with [Brand Name] deals in Dollar Range [X$ - Y$].", Exclusive offer from [Brand Name]: X$ - Y$ deals you can't miss for re-engaging with our brand., Quick! Don't miss out on limited time Re-engagement Dollar Range [X$ - Y$] offers from [Brand Name]., [Brand Name] re-engagement: Rekindle your love for the ultimate deals in Dollar Range [X$ - Y$].
% Discount,Fall,Yes, Fall into savings with our YES to discounts!," YES, you heard it right! % Discount for Fall!", Don't miss out on our limited-time % Discount sale this Fall! , Embrace the Fall with YES to discounts up to %!, % Discount on Fall favorites - YES please!
New Launch,Thanks Giving,[X item]," An Exciting New Launch, just in time for Thanks Giving! "," [X item], now available with our Latest New Launch! ", Happy Thanks Giving - Discover our New Launch and Save on [X item]. , Get Ready for Thanks Giving with Exclusive [X item] from Our Latest New Launch. , New Launch Offer: [X item] with Special Thanks Giving Discount.
Winter,Deadline [X days/hours left],Valentines," Hurry Up, Valentine's Day Sale ends in X hours!"," Cold, winter nights made cosy with our Valentine's Day Deals", Only X days left! Winter sale is almost over - grab it now., Warm your Valentine's heart with our exclusive winter collection., Limited time offer - Shop our winter collection before time runs out!
Fashion,Abandoned Cart,Sports, Get your fashion game back on track and complete your abandoned cart now!, Score big on fashion and sports - don't leave your cart behind again., From sporty to stylish - check out our fashion range and recover your abandoned items.," Don't let your cart, or your fashion sense, suffer - act now to complete your purchase.", Kick off your game with the latest sports gear and fashion trends - finish what you started.
Retail,Abandoned cart,Yes.," Don't forget, your shopping cart is waiting for you!"," Yes, you can still complete your purchase!", You left something behind! Come back to your cart now., Abandoned cart alert: Don't miss out on your items!, There's still time to say yes to your shopping cart.
Retargetting,Halloween,[X item], Don't get spooked - come back for [X item] this Halloween with our retargeting campaign!," It's not a trick - our retargeting strategy will get you treats, like [X item] for Halloween!", There's no ghosting our retargeting approach - have a boo-tiful Halloween with our [X item] deals!, Don't be scared off by our retargeting efforts - [X item] is the perfect Halloween treat!, Scare up some savings this Halloween with our retargeting deals on [X item]!
Auto,Gift Cards,Dollar Range [$X - $Y]., Get a FREE Gift Card when you test drive an Auto., Auto lover? Gift Cards for car maintenance are here!," Your perfect Auto is waiting! Plus, a Gift Card with every purchase.", Treat yourself for as low as $X and Buy Auto Gifts Cards , Last Chance: Buy Auto Gift Cards Worth $Y and SAVE!
Re-engagement,Fall,Yes," Hey {var1}, we want to FALL back into your good graces - are you in?"," It's a YES to better engagement, {var1}. Let's rekindle our relationship. "," Don't FALL out of touch, {var1}! Keep the conversation going with us."," {var1}, let's re-engage and make this a memorable fall season. "," We're saying YES to reconnecting with you, {var1}. Are you ready to do the same?"
Gifts,Sports,[X Item], Finding the Perfect Gift for Sports Enthusiasts - [X Item]!, Celebrate Your Love for Sports: Get [X Item] as a Gift!, Hooray for Game Day! A Gift Guide Featuring Sports and [X Item]!, Unlock Joy with this Gift for the Sports Lover in Your Life: [X Item]!, Score Big with this [X Item] & Sports Themed Gift for Any Occasion!
Deadline [X days/hours left],[Brand Name],[X item], Only [X days/hours left] to get your hands on [Brand Name] [X item]!, Last chance to grab your favourite [Brand Name] [X item] before the deadline!, Hurry up! Final [X days/hours] for [Brand Name] [X item] ends soon!, Don't miss out on [Brand Name] [X item]! Only [X days/hours] remaining!, Grab [Brand Name] [X item] before the deadline runs out in [X days/hours]!
Domain,,, Welcome to your new domain - [Insert Domain Name]," Yes, our domain hosting services are perfect for you!", Don't wait - secure your domain name today., Discover the power of your own domain name., Welcome to our comprehensive domain management system.
New Launch,% Discount,Units left [X units left]., Hurry! Limited Units Left on our New Launch with Discount!, New Launch Flash Sale - Get Your Discounted Unit Now!, Final Call - X Units Left on New Launch with % Discount!, Don't Miss Out on New Launch Offer - X Units Left Only!, Exclusive Discount Offer on Our New Launch - Grab Now!
Domain,$ Discount,Units Left [X units left], Kickstart your online presence with our discounted domain offer, Don't miss out on our limited-time domain sale and special $ discount, Secure your domain name today and save $ with our offer!, Last chance to grab your dream domain with only X units left, It's now or never! Claim your domain before the units run out and enjoy our $ discount
Fashion,Thanks Giving,Yes," Don't miss out on our Thanks Giving fashion sale - Say ""Yes"" to trendy outfits!"," Yes to Savings, Yes to Fashion - Thanks Giving deals on your favorite brands.", Fashion must-haves for your Thanks Giving gathering - Say Yes to style., Celebrate Thanks Giving in style with these fashionable outfit ideas - Say Yes to looking stunning., Say Yes to the perfect Thanks Giving outfit - Shop our latest fashion collection now.
Clearance,Gift Cards,Black Friday, Black Friday starts early - Clearance and Gift Card deals you won't want to miss!, Last chance for Clearance deals and a chance to win a Gift Card on Black Friday!, Black Friday steals: Clearance discounts on top of Gift Card savings., Gear up for Black Friday with Clearance sales and Gift Card options., Find the best Black Friday deals with Clearance prices and Gift Card rewards.
Retargeting,BOGO,Winter, Don't Miss Out! BOGO + Winter sale + Retargeting offer, Retargeting campaign with Winter and BOGO deals , Exclusive Winter offer + Retargeting campaign just for you , Revamp your winter wardrobe with BOGO + Retargeting discount , Retargeting done right with BOGO and Winter deals
$ Discount,Summer,[Brand Name], Summer Sale Alert: Avail $$$ Discount on [Brand Name], Beat the Heat with $$$ Discount on [Brand Name] this Summer, [Brand Name] Presents its Summer Collection with Big $$$ Discount!, Get Ready for Summer with a Special $$$ Discount on [Brand Name], Exclusive Summer Offer: Save $$$ on [Brand Name]'s Latest Collection
BOGO,Winter,Thanks Giving, Don't miss out on our BOGO Winter Sale this Thanks Giving!," Buy One, Get One FREE! Winter essentials sale for Thanks Giving.", BOGO offer for all your Winter needs this Thanks Giving., Thanks Giving Sale Alert: Get BOGO on Winter outfits!, Winter BOGO sale to thank you this Thanks Giving!
Travel,Abandoned cart,Deadline [X days/hours left], Your dream vacation awaits! Don't let it slip away - X days left to complete your booking, Last chance to book your travel plans and score a discount - cart expiring soon, Hop on board! Your abandoned cart is still waiting for you to book your travel, Limited time offer: X hours left to complete your bookings and get the best travel deals, Book now and save: Abandoned cart reminder for your upcoming trip - X days left
Summer,Sports,Yes," Summer Sports: Yes, You Can!"," Get Your Game On This Summer: Yes, We're Open!", Ready to Say Yes to Summer Sports?," Summer Fun with Sports: Yes, Please!", Say Yes to Summer Sports and Get Your Heart Pumping!
Abandoned cart,Spring,[X item], Spring into action! Check out with [X item] before it’s too late!, Don't let your shopping cart gather dust! Checkout with [X item] this Spring season, Your shopping cart is feeling lonely. Complete your purchase with [X item] and enjoy the Spring season., [X item] is still waiting for you in your abandoned cart! Complete your purchase and enjoy the Spring season, Spring clean your cart and complete your purchase with [X item] before it's gone
Coupons,Winter,Valentines, Love your wallet this Valentine’s Day with our winter coupon collection!, Warm up to our winter deals and create the perfect Valentine’s Day ambiance., Spread the love this Valentine’s Day with our exclusive winter coupon offerings., Don’t let the winter blues get you down! Our Valentine’s Day coupons will warm your heart., Winter woos and Valentine’s Day woes? Our coupon deals have got you covered!
Fashion,Gift Cards,Dollar Range [X$ - Y$], Shop in Style with Fashion Gift Cards , Get the Best of Fashion within Your Budget with [X$ - Y$] Gift Cards, Discover the Perfect Fashion Gift Cards for Every Style and Budget, Shop the Latest Fashion Trends with our Gift Cards , Give the Gift of Style with Fashion Gift Cards in [X$ - Y$] Range
New Launch,Deadline [X days/hours left],Halloween, Get Ready for a Spooktacular New Launch - X Days Left!, Last Chance to Grab Our Special Halloween New Launch Offer, X Hours Left to Avail Our Halloween Special New Launch Deal, Unwrap the Thrill of Our New Halloween Launch Before Deadline, Our New Launch is Here to Haunt You This Halloween - Limited Time Only
Fall,Halloween,[X item], Get Ready for Fall with our Spooky Selection of [X item], Spooky Savings for Fall: Halloween [X item], Fall into Savings with our Halloween [X item] Specials, The Perfect [X item] for a Cozy Fall Night or Halloween Party, Trick or Treat Yourself to [X item] this Fall Season.
Retail,Sports,Dress.," Get Your Game on: Sports Gear and Athleisure Wear, Available Now at {Retail}.", Shop the Look: The Hottest Dress Trends for Summer 2021 at {Retail}., Outfit Your Workout: Up to 50% Off Sports Apparel at {Retail}., Running Late for the Big Date? Find Your Perfect Dress at {Retail}.," Get in the Game with Sports Gear and Fashionable Dresses, Available Now at {Retail}."
Domain,Black Friday,[X item], Don't Miss Out on Our Black Friday Deals for [X item] on Our Domain!, Our Domain's Black Friday Sale: Savings on [X item] That You Won't Want to Miss!, Happy Black Friday! Get [X item] Deals on Our Domain Today!, Shop for [X item] in Our Domain's Black Friday Sale and Save Big!, Black Friday Shopping for [X item] Has Never Been Easier with Our Domain's Deals!
Retargetting,Fall,Dress, Fall in love with our new dresses - Retargeting offer inside!, Upgrade your wardrobe this fall with our retargeting sale on dresses," Back in stock: Your favorite dress, retargeted just for you ", Don't let our dresses slip away! Our retargeting campaign awaits you , Keep calm and dress for fall - Retargeted offers you won't want to miss
Fashion,Dollar Range [X$ - Y$],Halloween, Get the best Halloween look under $Y with our fashionable outfits., Don't burn a hole in your pocket - Fashionable Halloween outfits under $X!, Step up your Halloween game with fashionable outfits in dollar range [X$ - Y$]., Halloween fashion that won't break the bank - Get the perfect look between X$ to Y$., Be spooky and stylish this Halloween with our exclusive fashion collection in the dollar range [X$ - Y$].
Travel,% Discount,Thanks Giving., Discover Thanks Giving travel deals with a % discount., Limited time offer: Travel during Thanks Giving with a % discount.," Give thanks with a travel experience, and enjoy a % discount.", Say thanks in style with discounted travel deals., Book your Thanks Giving travel now and get % discount.
Re-engagement,Winter,Jeans., Last chance to grab your favorite winter collection of jeans with amazing discounts - Re-engage now!, Haven't shopped for winter yet? Come and check out our latest jeans collection - Re-engage with us!, Re-engage and renew your wardrobe with our exclusive winter jeans collection!," Winter is here, but are your jeans ready? Re-engage with us for the perfect fit!", Take a step forward and re-engage with our winter jeans collection to stay warm and stylish.
Clearance,Valentines,[X item], Find the perfect Valentine's Day gift for less with our Clearance sale!, Up to XX% off Valentine's Day gifts in our Clearance section., Last chance: Clearance sale on [X item] just in time for Valentine's Day., Valentine's Day Savings Alert: Shop the Clearance selection now., Get ready for Valentine's Day with unbeatable Clearance deals on [X item].
Retail,Dollar Range [X$ - Y$],Summer, The Best Summer Deals: Retail Products for X$ to Y$ Only!, Discover the Best Retail Deals for your Summer Shopping!, Upgrade your Summer Wardrobe: Amazing Retail Finds from X$ to Y$., Summer Bargains On Retail Products! Get X% off on all items!, Summer Shopping Just Got Better With Dollar Range X$ - Y$ on All Retail Products!
Retargetting,BOGO,Winter, Catch Them Again with Winter Deals: Retargeting + BOGO!, Don't Miss Our Winter BOGO: Retargeting at its Best, Retargeting For Winter? Get BOGO On Your Favorite Items, Double the Savings with BOGO and Retargeting this Winter, Winter Is Here and So Is Our Retargeting BOGO Offer!
Deadline [X days/hours left],Sports,[Brand Name], Don't Strike Out - Get Your [Brand Name] Gear In Time For The Game!, Final Countdown: [X days/hours left] To Stock Up On [Brand Name] Sports Gear!, Time is Running Out - Score Big With [Brand Name] Sports Equipment!, Hurry Up and Order! [Brand Name] Sports Gear for Game Day!, The Clock is Ticking: Get Your [Brand Name] Sports Gear Before Time Runs Out!
$ Discount,Summer,[Brand Name]., Summer sale alert: Get $ discount on [Brand Name] products!, Celebrate summer with [Brand Name] and save $ big time!, Beat the heat and save $ on [Brand Name] summer essentials!, Summer just got hotter with $ savings on [Brand Name] products!, Don't sweat it! Get $ off on [Brand Name] summer collection.
BOGO,Winter,Thanks Giving, Hurry up! Winter BOGO sale ends on Thanks Giving Day," This Winter, grab BOGO deals and get thankful on Thanks Giving", BOGO sale alert! Add warmth to your winter wardrobe and save big this Thanks Giving, Celebrate Thanks Giving with BOGO offer on winter wears, Winter essentials BOGO sale just in time for Thanks Giving shopping
Travel,Abandoned Cart,Deadline [X days/hours left], Don't miss out! Only [X days/hours left] to complete your travel booking, Come back and finish your travel booking before it's too late!, [X days/hours left] to claim your exclusive discount on your travel booking, Your dream trip is still waiting! Complete your booking now and save big, Last chance to book your travel with a special [discount/offer] before it expires. Hurry!
Summer,Sports,Yes.," Yes, you can still enjoy sports this summer!", Make the most of your summer with exciting sports activities.," Summer is here, and so are your favorite sports!", Don't miss out on the sports action this summer!," Yes, summer and sports can go hand in hand!"
Abandoned cart,Spring,[X item], Bring spring back into your step with [X item] from your abandoned cart!, Final chance to buy [X item] before spring - don't let it sit in your cart!, Spring surprise: [X item] from your abandoned cart is now on sale!, It's a sign of spring - claim your [X item] from your abandoned cart!, Spring cleaning your cart - don't forget about [X item]!
